0.04	1
0.046	0
0.14	0
0.15	0
0.248	0
0.28	0
0.301	1
0.309	1
0.313	0
0.389	0
0.487	0
0.557	1
0.622	0
0.9	0
0.943	1
0.952	0
0.996	0
1.003	0
1.01	0
1.07	1
1.085	0
1.092	0
1.124	1
1.152	0
1.183	0
1.244	0
1.248	1
1.249	0
1.262	0
1.281	1
1.303	1
1.36	0
1.432	1
1.436	0
1.48	1
1.492	0
1.505	1
1.506	1
1.568	1
1.58	0
1.615	1
1.619	1
1.652	1
1.719	0
1.757	1
1.794	0
1.795	1
1.866	1
1.876	1
1.899	1
1.911	1
1.912	1
1.914	1
1.915	0
1.92	0
1.963	0
1.978	0
1.981	1
2.01	1
2.038	1
2.053	0
2.065	0
2.085	1
2.089	1
2.097	1
2.117	0
2.135	1
2.137	0
2.141	0
2.154	1
2.163	0
2.183	0
2.19	1
2.194	1
2.223	1
2.224	1
2.229	1
2.24	0
2.3	1
2.324	1
2.341	0
2.349	1
2.385	1
2.435	0
2.464	0
2.481	1
2.543	0
2.56	0
2.592	0
2.6	0
2.61	1
2.625	1
2.632	1
2.646	1
2.661	1
2.67	0
2.688	1
2.717	0
2.819	0
2.82	0
2.823	1
2.878	0
2.89	1
2.902	1
2.934	1
2.95	0
2.962	1
2.964	1
3	1
3.003	0
3.102	0
3.103	1
3.114	1
3.117	1
3.166	1
3.304	0
3.344	1
3.376	1
3.385	1
3.443	1
3.467	1
3.478	1
3.483	0
3.5	0
3.578	1
3.595	1
3.622	0
3.665	0
3.695	0
3.699	1
3.779	1
3.924	1
4.015	0
4.035	1
4.121	1
4.167	1
4.24	1
4.255	1
4.278	1
4.305	1
4.376	1
4.449	1
4.485	1
4.57	1
4.602	1
4.628	0
4.663	1
4.694	1
4.806	0
4.881	0
5.14	0
